 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.515,0.250,0.191,0.432,0.312,0.238,0.406,0.279,0.395,0.103,0.341,0.389,0.216,0.000,0.273
f_min.final_model.000.01.det_cont.csv,0.789,0.182,0.138,0.340,0.558,0.273,0.235,0.460,0.322,0.069,0.377,0.478,0.159,0.000,0.194
f_min.final_model.000.02.det_cont.csv,0.383,0.364,0.145,0.659,0.560,0.196,0.463,0.296,0.630,0.200,0.667,0.512,0.305,0.049,0.392
f_min.final_model.000.03.det_cont.csv,0.155,0.643,0.419,0.417,0.250,0.217,0.328,0.115,0.460,0.621,0.359,0.171,0.808,0.110,0.419
f_min.final_model.000.04.det_cont.csv,0.286,0.553,0.190,0.784,0.462,0.161,0.487,0.193,0.698,0.294,0.619,0.286,0.442,0.069,0.408
f_min.final_model.000.05.det_cont.csv,0.180,0.608,0.182,0.442,0.269,0.088,0.314,0.100,0.439,0.448,0.426,0.200,0.474,0.268,0.345
f_min.final_model.000.06.det_cont.csv,0.182,0.442,0.340,0.417,0.258,0.314,0.429,0.148,0.442,0.385,0.373,0.161,0.481,0.085,0.690
f_min.final_model.000.07.det_cont.csv,0.102,0.293,0.775,0.133,0.068,0.340,0.224,0.077,0.154,0.452,0.094,0.048,0.453,0.032,0.268
f_min.final_model.000.08.det_cont.csv,0.327,0.531,0.145,0.659,0.444,0.136,0.463,0.228,0.705,0.286,0.667,0.383,0.400,0.123,0.479
f_min.final_model.000.09.det_cont.csv,0.074,0.509,0.463,0.226,0.117,0.210,0.172,0.026,0.258,0.690,0.182,0.028,0.604,0.125,0.339
f_min.final_model.000.10.det_cont.csv,0.512,0.241,0.193,0.413,0.442,0.362,0.357,0.367,0.385,0.115,0.396,0.590,0.213,0.000,0.333
f_min.final_model.000.11.det_cont.csv,0.471,0.371,0.110,0.529,0.630,0.222,0.321,0.333,0.545,0.220,0.600,0.500,0.318,0.088,0.397
f_min.final_model.000.12.det_cont.csv,0.425,0.155,0.189,0.277,0.321,0.405,0.368,0.476,0.264,0.051,0.292,0.583,0.131,0.018,0.260
f_min.final_model.000.13.det_cont.csv,0.615,0.237,0.095,0.467,0.617,0.226,0.381,0.388,0.431,0.100,0.478,0.615,0.190,0.051,0.232
f_min.final_model.000.14.det_cont.csv,0.309,0.577,0.130,0.705,0.518,0.088,0.367,0.242,0.745,0.329,0.674,0.309,0.424,0.127,0.393
