 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.000,0.000,0.097,0.090,0.138,0.230,0.097,0.000,0.153,0.086,0.000,0.114,0.034,0.065,0.172
f_min.final_model.000.01.det_cont.csv,0.238,0.522,0.218,0.077,0.121,0.072,0.136,0.081,0.155,0.027,0.391,0.328,0.439,0.413,0.156
f_min.final_model.000.02.det_cont.csv,0.037,0.028,0.164,0.173,0.190,0.368,0.203,0.014,0.246,0.145,0.062,0.209,0.016,0.095,0.279
f_min.final_model.000.03.det_cont.csv,0.000,0.014,0.060,0.048,0.062,0.164,0.044,0.000,0.109,0.026,0.000,0.066,0.033,0.045,0.099
f_min.final_model.000.04.det_cont.csv,0.191,0.121,0.127,0.467,0.190,0.164,0.365,0.775,0.164,0.519,0.193,0.095,0.167,0.095,0.130
f_min.final_model.000.05.det_cont.csv,0.104,0.164,0.259,0.149,0.269,0.230,0.133,0.000,0.308,0.056,0.102,0.258,0.111,0.222,0.339
f_min.final_model.000.06.det_cont.csv,0.042,0.030,0.182,0.171,0.189,0.385,0.182,0.016,0.250,0.123,0.051,0.210,0.036,0.125,0.263
f_min.final_model.000.07.det_cont.csv,0.000,0.013,0.000,0.034,0.000,0.000,0.000,0.104,0.000,0.051,0.000,0.000,0.000,0.000,0.000
f_min.final_model.000.08.det_cont.csv,0.213,0.190,0.440,0.369,0.458,0.612,0.358,0.091,0.565,0.212,0.278,0.439,0.164,0.321,0.580
f_min.final_model.000.09.det_cont.csv,0.120,0.088,0.092,0.375,0.150,0.114,0.268,0.732,0.092,0.436,0.153,0.066,0.167,0.045,0.099
f_min.final_model.000.10.det_cont.csv,0.200,0.164,0.389,0.484,0.377,0.783,0.316,0.136,0.500,0.297,0.241,0.417,0.155,0.281,0.519
f_min.final_model.000.11.det_cont.csv,0.000,0.051,0.000,0.054,0.000,0.000,0.000,0.127,0.000,0.073,0.000,0.000,0.000,0.026,0.000
f_min.final_model.000.12.det_cont.csv,0.275,0.232,0.571,0.339,0.600,0.490,0.347,0.065,0.692,0.156,0.312,0.490,0.208,0.391,0.622
f_min.final_model.000.13.det_cont.csv,0.000,0.074,0.000,0.012,0.000,0.000,0.000,0.061,0.000,0.026,0.000,0.013,0.000,0.046,0.000
f_min.final_model.000.14.det_cont.csv,0.031,0.105,0.080,0.043,0.097,0.143,0.038,0.000,0.125,0.011,0.026,0.096,0.058,0.113,0.128
