 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.031,0.543,0.690,0.000,0.388,0.548,0.104,0.333,0.000,0.271,0.127,0.222,0.111,0.500
f_min.final_model.000.01.det_cont.csv,0.031,1.000,0.000,0.045,0.129,0.155,0.000,0.028,0.076,0.129,0.057,0.082,0.102,0.113,0.111
f_min.final_model.000.02.det_cont.csv,0.543,0.000,1.000,0.542,0.000,0.268,0.700,0.100,0.442,0.000,0.393,0.064,0.302,0.028,0.400
f_min.final_model.000.03.det_cont.csv,0.690,0.045,0.542,1.000,0.000,0.315,0.447,0.149,0.230,0.000,0.200,0.153,0.150,0.123,0.647
f_min.final_model.000.04.det_cont.csv,0.000,0.129,0.000,0.000,1.000,0.000,0.000,0.100,0.087,0.762,0.130,0.122,0.062,0.058,0.000
f_min.final_model.000.05.det_cont.csv,0.388,0.155,0.268,0.315,0.000,1.000,0.275,0.057,0.286,0.000,0.230,0.096,0.404,0.129,0.397
f_min.final_model.000.06.det_cont.csv,0.548,0.000,0.700,0.447,0.000,0.275,1.000,0.044,0.468,0.000,0.440,0.027,0.312,0.000,0.345
f_min.final_model.000.07.det_cont.csv,0.104,0.028,0.100,0.149,0.100,0.057,0.044,1.000,0.000,0.116,0.000,0.755,0.000,0.551,0.160
f_min.final_model.000.08.det_cont.csv,0.333,0.076,0.442,0.230,0.087,0.286,0.468,0.000,1.000,0.042,0.646,0.000,0.628,0.000,0.214
f_min.final_model.000.09.det_cont.csv,0.000,0.129,0.000,0.000,0.762,0.000,0.000,0.116,0.042,1.000,0.083,0.137,0.030,0.058,0.000
f_min.final_model.000.10.det_cont.csv,0.271,0.057,0.393,0.200,0.130,0.230,0.440,0.000,0.646,0.083,1.000,0.000,0.553,0.000,0.173
f_min.final_model.000.11.det_cont.csv,0.127,0.082,0.064,0.153,0.122,0.096,0.027,0.755,0.000,0.137,0.000,1.000,0.000,0.673,0.177
f_min.final_model.000.12.det_cont.csv,0.222,0.102,0.302,0.150,0.062,0.404,0.312,0.000,0.628,0.030,0.553,0.000,1.000,0.000,0.162
f_min.final_model.000.13.det_cont.csv,0.111,0.113,0.028,0.123,0.058,0.129,0.000,0.551,0.000,0.058,0.000,0.673,0.000,1.000,0.186
f_min.final_model.000.14.det_cont.csv,0.500,0.111,0.400,0.647,0.000,0.397,0.345,0.160,0.214,0.000,0.173,0.177,0.162,0.186,1.000
