 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.387,0.369,0.149,0.312,0.197,0.621,0.279,0.474,0.421,0.162,0.361,0.299,0.507,0.474
f_min.final_model.000.01.det_cont.csv,0.387,1.000,0.627,0.224,0.164,0.352,0.375,0.125,0.130,0.103,0.159,0.085,0.095,0.357,0.114
f_min.final_model.000.02.det_cont.csv,0.369,0.627,1.000,0.345,0.266,0.551,0.338,0.183,0.157,0.147,0.206,0.067,0.120,0.361,0.157
f_min.final_model.000.03.det_cont.csv,0.149,0.224,0.345,1.000,0.533,0.455,0.068,0.358,0.062,0.200,0.455,0.015,0.059,0.024,0.190
f_min.final_model.000.04.det_cont.csv,0.312,0.164,0.266,0.533,1.000,0.268,0.178,0.549,0.267,0.490,0.392,0.154,0.197,0.120,0.462
f_min.final_model.000.05.det_cont.csv,0.197,0.352,0.551,0.455,0.268,1.000,0.209,0.233,0.127,0.133,0.294,0.029,0.121,0.158,0.145
f_min.final_model.000.06.det_cont.csv,0.621,0.375,0.338,0.068,0.178,0.209,1.000,0.171,0.509,0.317,0.095,0.441,0.391,0.689,0.410
f_min.final_model.000.07.det_cont.csv,0.279,0.125,0.183,0.358,0.549,0.233,0.171,1.000,0.234,0.490,0.682,0.147,0.171,0.091,0.411
f_min.final_model.000.08.det_cont.csv,0.474,0.130,0.157,0.062,0.267,0.127,0.509,0.234,1.000,0.490,0.109,0.442,0.549,0.453,0.617
f_min.final_model.000.09.det_cont.csv,0.421,0.103,0.147,0.200,0.490,0.133,0.317,0.490,0.490,1.000,0.283,0.286,0.357,0.233,0.825
f_min.final_model.000.10.det_cont.csv,0.162,0.159,0.206,0.455,0.392,0.294,0.095,0.682,0.109,0.283,1.000,0.045,0.088,0.035,0.246
f_min.final_model.000.11.det_cont.csv,0.361,0.085,0.067,0.015,0.154,0.029,0.441,0.147,0.442,0.286,0.045,1.000,0.500,0.438,0.364
f_min.final_model.000.12.det_cont.csv,0.299,0.095,0.120,0.059,0.197,0.121,0.391,0.171,0.549,0.357,0.088,0.500,1.000,0.391,0.463
f_min.final_model.000.13.det_cont.csv,0.507,0.357,0.361,0.024,0.120,0.158,0.689,0.091,0.453,0.233,0.035,0.438,0.391,1.000,0.310
f_min.final_model.000.14.det_cont.csv,0.474,0.114,0.157,0.190,0.462,0.145,0.410,0.411,0.617,0.825,0.246,0.364,0.463,0.310,1.000
