 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
finalmodel.000.00.det_cont.csv,0.167,0.127,0.175,0.409,0.353,0.255,0.097,0.674,0.113,0.294,0.882,0.046,0.091,0.036,0.255
finalmodel.000.01.det_cont.csv,0.673,0.266,0.254,0.108,0.274,0.138,0.679,0.262,0.646,0.490,0.156,0.472,0.414,0.477,0.580
finalmodel.000.02.det_cont.csv,0.407,0.833,0.667,0.259,0.172,0.400,0.349,0.130,0.136,0.125,0.167,0.088,0.114,0.353,0.136
finalmodel.000.03.det_cont.csv,0.429,0.104,0.149,0.226,0.500,0.136,0.323,0.471,0.500,0.917,0.288,0.291,0.364,0.236,0.800
finalmodel.000.04.det_cont.csv,0.268,0.063,0.130,0.271,0.491,0.167,0.195,0.735,0.281,0.580,0.510,0.209,0.197,0.138,0.491
finalmodel.000.05.det_cont.csv,0.179,0.404,0.490,0.524,0.291,0.737,0.157,0.254,0.092,0.115,0.320,0.014,0.104,0.114,0.127
finalmodel.000.06.det_cont.csv,0.333,0.245,0.232,0.267,0.455,0.255,0.254,0.340,0.333,0.488,0.283,0.145,0.241,0.174,0.488
finalmodel.000.07.det_cont.csv,0.108,0.134,0.197,0.426,0.423,0.255,0.037,0.481,0.072,0.246,0.468,0.028,0.013,0.011,0.194
finalmodel.000.08.det_cont.csv,0.426,0.141,0.167,0.220,0.491,0.156,0.369,0.464,0.549,0.810,0.298,0.322,0.367,0.280,0.756
finalmodel.000.09.det_cont.csv,0.545,0.371,0.394,0.061,0.146,0.187,0.733,0.115,0.469,0.264,0.060,0.431,0.406,0.881,0.343
finalmodel.000.10.det_cont.csv,0.390,0.086,0.129,0.218,0.510,0.113,0.292,0.540,0.423,0.775,0.327,0.304,0.328,0.213,0.721
finalmodel.000.11.det_cont.csv,0.167,0.109,0.175,0.512,0.605,0.280,0.082,0.532,0.131,0.320,0.488,0.079,0.075,0.036,0.302
finalmodel.000.12.det_cont.csv,0.712,0.383,0.365,0.104,0.266,0.246,0.717,0.217,0.473,0.393,0.134,0.356,0.333,0.581,0.446
finalmodel.000.13.det_cont.csv,0.118,0.061,0.000,0.000,0.030,0.000,0.182,0.029,0.172,0.066,0.000,0.426,0.392,0.214,0.115
finalmodel.000.14.det_cont.csv,0.383,0.283,0.404,0.283,0.415,0.429,0.417,0.258,0.415,0.385,0.207,0.254,0.418,0.353,0.442
