 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.095,0.232,0.344,0.414,0.308,0.589,0.212,0.419,0.371,0.309,0.600,0.309,0.093,0.435,0.147
f_min.final_model.000.01.det_cont.csv,0.659,0.385,0.217,0.353,0.440,0.226,0.396,0.339,0.143,0.405,0.230,0.226,0.000,0.041,0.806
f_min.final_model.000.02.det_cont.csv,0.683,0.431,0.194,0.250,0.404,0.149,0.360,0.288,0.074,0.333,0.152,0.203,0.000,0.027,0.571
f_min.final_model.000.03.det_cont.csv,0.600,0.388,0.190,0.300,0.447,0.180,0.340,0.315,0.133,0.375,0.203,0.200,0.000,0.043,0.743
f_min.final_model.000.04.det_cont.csv,0.262,0.433,0.087,0.339,0.458,0.385,0.110,0.648,0.344,0.521,0.391,0.059,0.037,0.216,0.295
f_min.final_model.000.05.det_cont.csv,0.382,0.739,0.095,0.305,0.702,0.292,0.230,0.456,0.231,0.426,0.297,0.091,0.000,0.105,0.490
f_min.final_model.000.06.det_cont.csv,0.286,0.583,0.116,0.377,0.617,0.429,0.145,0.717,0.382,0.615,0.463,0.096,0.014,0.194,0.353
f_min.final_model.000.07.det_cont.csv,0.068,0.186,0.273,0.429,0.277,0.673,0.200,0.410,0.456,0.250,0.654,0.243,0.159,0.500,0.101
f_min.final_model.000.08.det_cont.csv,0.027,0.141,0.155,0.345,0.209,0.441,0.152,0.355,0.653,0.172,0.448,0.133,0.300,0.635,0.057
f_min.final_model.000.09.det_cont.csv,0.237,0.167,0.560,0.396,0.242,0.328,0.532,0.231,0.203,0.208,0.404,0.473,0.057,0.286,0.273
f_min.final_model.000.10.det_cont.csv,0.118,0.067,0.841,0.222,0.081,0.235,0.364,0.122,0.143,0.098,0.277,0.750,0.149,0.292,0.106
f_min.final_model.000.11.det_cont.csv,0.286,0.101,0.711,0.281,0.134,0.194,0.511,0.113,0.086,0.105,0.234,0.702,0.090,0.212,0.278
f_min.final_model.000.12.det_cont.csv,0.111,0.088,0.000,0.060,0.042,0.040,0.000,0.116,0.042,0.089,0.055,0.000,0.164,0.040,0.047
f_min.final_model.000.13.det_cont.csv,0.380,0.553,0.138,0.458,0.622,0.351,0.259,0.520,0.281,0.538,0.357,0.149,0.000,0.132,0.571
f_min.final_model.000.14.det_cont.csv,0.197,0.258,0.292,0.739,0.361,0.426,0.368,0.483,0.482,0.250,0.593,0.261,0.067,0.403,0.267
