 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.434,0.185,0.217,0.407,0.159,0.420,0.317,0.070,0.340,0.145,0.212,0.000,0.026,0.643
f_min.final_model.000.01.det_cont.csv,0.434,1.000,0.095,0.283,0.633,0.273,0.210,0.509,0.212,0.523,0.277,0.091,0.000,0.091,0.460
f_min.final_model.000.02.det_cont.csv,0.185,0.095,1.000,0.279,0.125,0.250,0.462,0.151,0.141,0.115,0.292,0.809,0.114,0.288,0.175
f_min.final_model.000.03.det_cont.csv,0.217,0.283,0.279,1.000,0.351,0.373,0.358,0.455,0.400,0.306,0.509,0.266,0.028,0.306,0.321
f_min.final_model.000.04.det_cont.csv,0.407,0.633,0.125,0.351,1.000,0.355,0.271,0.596,0.311,0.489,0.361,0.105,0.000,0.135,0.521
f_min.final_model.000.05.det_cont.csv,0.159,0.273,0.250,0.373,0.355,1.000,0.162,0.475,0.424,0.365,0.642,0.239,0.157,0.467,0.185
f_min.final_model.000.06.det_cont.csv,0.420,0.210,0.462,0.358,0.271,0.162,1.000,0.182,0.172,0.148,0.238,0.411,0.000,0.197,0.388
f_min.final_model.000.07.det_cont.csv,0.317,0.509,0.151,0.455,0.596,0.475,0.182,1.000,0.456,0.591,0.564,0.130,0.026,0.261,0.333
f_min.final_model.000.08.det_cont.csv,0.070,0.212,0.141,0.400,0.311,0.424,0.172,0.456,1.000,0.264,0.456,0.105,0.222,0.500,0.141
f_min.final_model.000.09.det_cont.csv,0.340,0.523,0.115,0.306,0.489,0.365,0.148,0.591,0.264,1.000,0.346,0.109,0.000,0.127,0.395
f_min.final_model.000.10.det_cont.csv,0.145,0.277,0.292,0.509,0.361,0.642,0.238,0.564,0.456,0.346,1.000,0.279,0.081,0.426,0.206
f_min.final_model.000.11.det_cont.csv,0.212,0.091,0.809,0.266,0.105,0.239,0.411,0.130,0.105,0.109,0.279,1.000,0.157,0.239,0.203
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.114,0.028,0.000,0.157,0.000,0.026,0.222,0.000,0.081,0.157,1.000,0.266,0.000
f_min.final_model.000.13.det_cont.csv,0.026,0.091,0.288,0.306,0.135,0.467,0.197,0.261,0.500,0.127,0.426,0.239,0.266,1.000,0.027
f_min.final_model.000.14.det_cont.csv,0.643,0.460,0.175,0.321,0.521,0.185,0.388,0.333,0.141,0.395,0.206,0.203,0.000,0.027,1.000
