 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.134,0.654,0.323,0.411,0.254,0.147,0.291,0.066,0.410,0.603,0.373,0.134,0.660,0.119,0.390
f_min.final_model.000.01.det_cont.csv,0.400,0.197,0.232,0.347,0.333,0.413,0.381,0.478,0.327,0.073,0.333,0.615,0.172,0.000,0.327
f_min.final_model.000.02.det_cont.csv,0.488,0.121,0.207,0.264,0.375,0.375,0.283,0.683,0.254,0.047,0.302,0.488,0.101,0.000,0.250
f_min.final_model.000.03.det_cont.csv,0.439,0.169,0.204,0.319,0.333,0.356,0.350,0.488,0.302,0.063,0.306,0.595,0.164,0.000,0.300
f_min.final_model.000.04.det_cont.csv,0.242,0.381,0.092,0.569,0.452,0.068,0.333,0.344,0.554,0.244,0.608,0.305,0.309,0.101,0.297
f_min.final_model.000.05.det_cont.csv,0.578,0.286,0.100,0.510,0.647,0.217,0.347,0.382,0.473,0.143,0.583,0.511,0.239,0.045,0.283
f_min.final_model.000.06.det_cont.csv,0.396,0.453,0.123,0.707,0.538,0.113,0.442,0.309,0.750,0.227,0.714,0.367,0.362,0.082,0.377
f_min.final_model.000.07.det_cont.csv,0.104,0.680,0.250,0.426,0.261,0.134,0.302,0.053,0.448,0.571,0.362,0.088,0.536,0.217,0.429
f_min.final_model.000.08.det_cont.csv,0.075,0.464,0.164,0.293,0.149,0.104,0.196,0.000,0.323,0.492,0.262,0.043,0.400,0.420,0.393
f_min.final_model.000.09.det_cont.csv,0.214,0.322,0.542,0.203,0.157,0.429,0.286,0.197,0.238,0.368,0.177,0.193,0.429,0.015,0.480
f_min.final_model.000.10.det_cont.csv,0.092,0.246,0.674,0.104,0.050,0.327,0.200,0.070,0.141,0.412,0.070,0.044,0.383,0.045,0.242
f_min.final_model.000.11.det_cont.csv,0.155,0.203,0.698,0.094,0.081,0.500,0.216,0.200,0.116,0.314,0.075,0.175,0.317,0.015,0.327
f_min.final_model.000.12.det_cont.csv,0.048,0.056,0.000,0.097,0.114,0.000,0.091,0.207,0.087,0.023,0.094,0.066,0.013,0.164,0.014
f_min.final_model.000.13.det_cont.csv,0.362,0.345,0.148,0.523,0.481,0.245,0.405,0.353,0.510,0.171,0.568,0.600,0.310,0.050,0.429
f_min.final_model.000.14.det_cont.csv,0.156,0.448,0.270,0.400,0.261,0.333,0.408,0.162,0.448,0.478,0.386,0.213,0.433,0.159,0.818
