 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
finalmodel.000.00.det_cont.csv,0.515,0.789,0.383,0.155,0.286,0.180,0.182,0.102,0.327,0.074,0.512,0.471,0.425,0.615,0.309
finalmodel.000.01.det_cont.csv,0.250,0.182,0.364,0.643,0.553,0.608,0.442,0.293,0.531,0.509,0.241,0.371,0.155,0.237,0.577
finalmodel.000.02.det_cont.csv,0.191,0.138,0.145,0.419,0.190,0.182,0.340,0.775,0.145,0.463,0.193,0.110,0.189,0.095,0.130
finalmodel.000.03.det_cont.csv,0.432,0.340,0.659,0.417,0.784,0.442,0.417,0.133,0.659,0.226,0.413,0.529,0.277,0.467,0.705
finalmodel.000.04.det_cont.csv,0.312,0.558,0.560,0.250,0.462,0.269,0.258,0.068,0.444,0.117,0.442,0.630,0.321,0.617,0.518
finalmodel.000.05.det_cont.csv,0.238,0.273,0.196,0.217,0.161,0.088,0.314,0.340,0.136,0.210,0.362,0.222,0.405,0.226,0.088
finalmodel.000.06.det_cont.csv,0.406,0.235,0.463,0.328,0.487,0.314,0.429,0.224,0.463,0.172,0.357,0.321,0.368,0.381,0.367
finalmodel.000.07.det_cont.csv,0.279,0.460,0.296,0.115,0.193,0.100,0.148,0.077,0.228,0.026,0.367,0.333,0.476,0.388,0.242
finalmodel.000.08.det_cont.csv,0.395,0.322,0.630,0.460,0.698,0.439,0.442,0.154,0.705,0.258,0.385,0.545,0.264,0.431,0.745
finalmodel.000.09.det_cont.csv,0.103,0.069,0.200,0.621,0.294,0.448,0.385,0.452,0.286,0.690,0.115,0.220,0.051,0.100,0.329
finalmodel.000.10.det_cont.csv,0.341,0.377,0.667,0.359,0.619,0.426,0.373,0.094,0.667,0.182,0.396,0.600,0.292,0.478,0.674
finalmodel.000.11.det_cont.csv,0.389,0.478,0.512,0.171,0.286,0.200,0.161,0.048,0.383,0.028,0.590,0.500,0.583,0.615,0.309
finalmodel.000.12.det_cont.csv,0.216,0.159,0.305,0.808,0.442,0.474,0.481,0.453,0.400,0.604,0.213,0.318,0.131,0.190,0.424
finalmodel.000.13.det_cont.csv,0.000,0.000,0.049,0.110,0.069,0.268,0.085,0.032,0.123,0.125,0.000,0.088,0.018,0.051,0.127
finalmodel.000.14.det_cont.csv,0.273,0.194,0.392,0.419,0.408,0.345,0.690,0.268,0.479,0.339,0.333,0.397,0.260,0.232,0.393
