Antibodies binding Pfs25 antigen,1190,1276,1262,1269,1202,1266,1267,1268,1260
1190,100,88.57,49.02,52.53,72.12,67.92,67.92,47.06,48.08
1276,88.57,100,46.53,55.1,71.84,69.23,69.23,48.51,47.57
1262,49.02,46.53,100,68.27,46.08,50,50,92.52,52.34
1269,52.53,55.1,68.27,100,47.47,51.52,51.52,67.31,59.05
1202,72.12,71.84,46.08,47.47,100,74.04,74.04,46.08,45.19
1266,67.92,69.23,50,51.52,74.04,100,100,50.98,45.19
1267,67.92,69.23,50,51.52,74.04,100,100,50.98,45.19
1268,47.06,48.51,92.52,67.31,46.08,50.98,50.98,100,53.27
1260,48.08,47.57,52.34,59.05,45.19,45.19,45.19,53.27,100
