Antibodies binding Pfs25 antigen,1190,1276,1262,1269,1202,1266,1267,1268,1260
1190,100,93.33,44.35,45,48.31,41.03,43.59,47.46,70.83
1276,93.33,100,47.83,48.33,50,45.3,46.15,51.69,71.67
1262,44.35,47.83,100,55.93,55.46,61.67,61.67,55.46,47.06
1269,45,48.33,55.93,100,72.73,50,50,79.67,50
1202,48.31,50,55.46,72.73,100,52.07,54.55,77.05,46.72
1266,41.03,45.3,61.67,50,52.07,100,91.27,55.28,42.62
1267,43.59,46.15,61.67,50,54.55,91.27,100,54.47,43.44
1268,47.46,51.69,55.46,79.67,77.05,55.28,54.47,100,50.41
1260,70.83,71.67,47.06,50,46.72,42.62,43.44,50.41,100
