,977.0,989.0,933.0,964.0,984.0,986.0,954.0,934.0,987.0
977.0,0.0,0.12875,0.12625,0.1475,0.135,0.145,0.14,0.19125,0.15875
989.0,0.12875,0.0,0.14375,0.11,0.0675,0.09625,0.0575,0.17,0.14
933.0,0.12625,0.14375,0.0,0.1075,0.11,0.11125,0.135,0.1275,0.16
964.0,0.1475,0.11,0.1075,0.0,0.115,0.12375,0.09875,0.1425,0.165
984.0,0.135,0.0675,0.11,0.115,0.0,0.08125,0.09,0.0975,0.135
986.0,0.145,0.09625,0.11125,0.12375,0.08125,0.0,0.105,0.12625,0.1575
954.0,0.14,0.0575,0.135,0.09875,0.09,0.105,0.0,0.10875,0.12875
934.0,0.19125,0.17,0.1275,0.1425,0.0975,0.12625,0.10875,0.0,0.31
987.0,0.15875,0.14,0.16,0.165,0.135,0.1575,0.12875,0.31,0.0
